ngram,Upstream,Upsteam
1500,0.0,0.0
1501,0.0,0.0
1502,0.0,0.0
1503,0.0,0.0
1504,0.0,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,0.0,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,9.018331833691004e-07,0.0
1533,9.018331833691004e-07,0.0
1534,9.018331833691004e-07,0.0
1535,9.018331833691004e-07,0.0
1536,9.018331833691004e-07,0.0
1537,9.018331833691004e-07,0.0
1538,9.018331833691004e-07,0.0
1539,8.301111457902672e-07,0.0
1540,8.301111457902672e-07,0.0
1541,8.301111457902672e-07,0.0
1542,8.301111457902672e-07,0.0
1543,8.301111457902672e-07,0.0
1544,8.301111457902672e-07,0.0
1545,8.301111457902672e-07,0.0
1546,0.0,0.0
1547,0.0,0.0
1548,0.0,0.0
1549,0.0,0.0
1550,0.0,0.0
1551,0.0,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,0.0,0.0
1582,0.0,0.0
1583,4.806226050797185e-07,0.0
1584,4.806226050797185e-07,0.0
1585,4.806226050797185e-07,0.0
1586,4.806226050797185e-07,0.0
1587,4.806226050797185e-07,0.0
1588,4.806226050797185e-07,0.0
1589,4.806226050797185e-07,0.0
1590,0.0,0.0
1591,0.0,0.0
1592,0.0,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,0.0,0.0
1598,0.0,0.0
1599,0.0,0.0
1600,0.0,0.0
1601,0.0,0.0
1602,0.0,0.0
1603,0.0,0.0
1604,0.0,0.0
1605,0.0,0.0
1606,0.0,0.0
1607,0.0,0.0
1608,0.0,0.0
1609,0.0,0.0
1610,0.0,0.0
1611,0.0,0.0
1612,0.0,0.0
1613,0.0,0.0
1614,0.0,0.0
1615,0.0,0.0
1616,0.0,0.0
1617,0.0,0.0
1618,0.0,0.0
1619,0.0,0.0
1620,1.3096058475119726e-06,0.0
1621,1.3096058475119726e-06,0.0
1622,1.3096058475119726e-06,0.0
1623,1.3096058475119726e-06,0.0
1624,1.3096058475119726e-06,0.0
1625,1.3096058475119726e-06,0.0
1626,1.3096058475119726e-06,0.0
1627,0.0,0.0
1628,0.0,0.0
1629,0.0,0.0
1630,0.0,0.0
1631,0.0,0.0
1632,0.0,0.0
1633,0.0,0.0
1634,4.936726522178755e-07,0.0
1635,4.936726522178755e-07,0.0
1636,6.673614702127192e-07,0.0
1637,6.673614702127192e-07,0.0
1638,6.673614702127192e-07,0.0
1639,6.673614702127192e-07,0.0
1640,6.673614702127192e-07,0.0
1641,1.736888179948437e-07,0.0
1642,1.736888179948437e-07,0.0
1643,0.0,0.0
1644,0.0,0.0
1645,0.0,0.0
1646,0.0,0.0
1647,0.0,0.0
1648,0.0,0.0
1649,0.0,0.0
1650,0.0,0.0
1651,0.0,0.0
1652,0.0,0.0
1653,0.0,0.0
1654,0.0,0.0
1655,0.0,0.0
1656,0.0,0.0
1657,0.0,0.0
1658,0.0,0.0
1659,0.0,0.0
1660,0.0,0.0
1661,0.0,0.0
1662,0.0,0.0
1663,0.0,0.0
1664,0.0,0.0
1665,0.0,0.0
1666,0.0,0.0
1667,0.0,0.0
1668,0.0,0.0
