ngram,Queue,Queu
1500,0.0,0.0
1501,0.0,0.0
1502,0.0,0.0
1503,0.0,0.0
1504,0.0,0.0
1505,6.313276961528962e-07,0.0
1506,6.313276961528962e-07,0.0
1507,6.313276961528962e-07,0.0
1508,6.313276961528962e-07,0.0
1509,6.313276961528962e-07,0.0
1510,6.313276961528962e-07,0.0
1511,6.313276961528962e-07,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,0.0,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,0.0,0.0
1545,5.358402047152464e-07,0.0
1546,5.358402047152464e-07,0.0
1547,5.358402047152464e-07,0.0
1548,5.358402047152464e-07,0.0
1549,5.358402047152464e-07,0.0
1550,5.358402047152464e-07,0.0
1551,5.358402047152464e-07,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,7.812804791943303e-06,0.0
1556,7.812804791943303e-06,0.0
1557,7.812804791943303e-06,0.0
1558,7.812804791943303e-06,0.0
1559,7.812804791943303e-06,0.0
1560,7.812804791943303e-06,0.0
1561,7.812804791943303e-06,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,0.0,0.0
1582,0.0,0.0
1583,7.209339076195777e-07,0.0
1584,7.209339076195777e-07,0.0
1585,7.209339076195777e-07,0.0
1586,2.158721599698765e-06,0.0
1587,2.158721599698765e-06,0.0
1588,2.158721599698765e-06,0.0
1589,2.158721599698765e-06,0.0
1590,1.4377876920791875e-06,0.0
1591,2.2373880840729854e-06,0.0
1592,2.2373880840729854e-06,0.0
1593,7.99600391993798e-07,0.0
1594,7.99600391993798e-07,0.0
1595,7.99600391993798e-07,0.0
1596,7.99600391993798e-07,0.0
1597,7.99600391993798e-07,0.0
1598,0.0,0.0
1599,0.0,0.0
1600,0.0,0.0
1601,0.0,0.0
1602,0.0,0.0
1603,0.0,0.0
1604,0.0,0.0
1605,0.0,0.0
1606,8.008010711689297e-08,0.0
1607,8.008010711689297e-08,0.0
1608,8.008010711689297e-08,0.0
1609,8.008010711689297e-08,0.0
1610,8.008010711689297e-08,0.0
1611,8.008010711689297e-08,0.0
1612,8.008010711689297e-08,0.0
1613,0.0,0.0
1614,3.296097474958515e-07,0.0
1615,3.296097474958515e-07,0.0
1616,3.296097474958515e-07,0.0
1617,3.296097474958515e-07,0.0
1618,3.296097474958515e-07,0.0
1619,3.296097474958515e-07,0.0
1620,3.296097474958515e-07,0.0
1621,0.0,0.0
1622,0.0,0.0
1623,0.0,0.0
1624,0.0,0.0
1625,0.0,0.0
1626,0.0,0.0
1627,0.0,0.0
1628,0.0,0.0
1629,0.0,0.0
1630,8.624899854632012e-08,0.0
1631,8.624899854632012e-08,0.0
1632,8.624899854632012e-08,0.0
1633,8.624899854632012e-08,0.0
1634,8.624899854632012e-08,0.0
1635,8.624899854632012e-08,0.0
1636,8.624899854632012e-08,0.0
1637,0.0,0.0
1638,0.0,0.0
1639,0.0,0.0
1640,0.0,0.0
1641,0.0,0.0
1642,0.0,0.0
1643,0.0,0.0
1644,0.0,0.0
1645,0.0,0.0
1646,0.0,0.0
1647,0.0,0.0
1648,0.0,0.0
1649,0.0,0.0
1650,0.0,0.0
1651,0.0,0.0
1652,0.0,0.0
1653,0.0,0.0
1654,0.0,0.0
1655,0.0,0.0
1656,0.0,0.0
