ngram,Qt,Qit,Qtf,Qtw,Qto,Qtv,Qrt
1500,3.148930147744977e-07,0.0,0.0,0.0,0.0,0.0,0.0
1501,2.519144118195982e-07,0.0,0.0,0.0,0.0,0.0,0.0
1502,2.0992867651633182e-07,0.0,0.0,0.0,0.0,0.0,0.0
1503,1.7993886558542727e-07,0.0,0.0,0.0,0.0,0.0,0.0
1504,4.627786763324236e-08,0.0,0.0,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1559,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1560,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1561,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1562,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1563,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1564,6.820486565369979e-07,0.0,0.0,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1578,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1579,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1580,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1581,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1582,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1583,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1584,2.40913111935827e-07,0.0,0.0,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1587,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1588,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1589,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1590,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1591,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1592,7.188938460395937e-07,0.0,0.0,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0,9.015941811542559e-07,0.0,0.0
1596,0.0,0.0,0.0,0.0,9.015941811542559e-07,0.0,0.0
1597,0.0,0.0,0.0,0.0,9.015941811542559e-07,0.0,0.0
1598,0.0,0.0,0.0,0.0,9.015941811542559e-07,0.0,0.0
1599,0.0,0.0,0.0,0.0,9.015941811542559e-07,0.0,0.0
1600,0.0,0.0,0.0,0.0,1.221112435294864e-06,0.0,0.0
1601,0.0,0.0,0.0,0.0,1.221112435294864e-06,0.0,0.0
1602,0.0,0.0,0.0,0.0,3.1951825414060817e-07,0.0,0.0
1603,0.0,0.0,0.0,0.0,3.1951825414060817e-07,0.0,0.0
1604,0.0,0.0,0.0,0.0,3.1951825414060817e-07,0.0,0.0
1605,0.0,0.0,0.0,0.0,3.1951825414060817e-07,0.0,0.0
1606,0.0,0.0,0.0,0.0,3.1951825414060817e-07,0.0,0.0
1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1611,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1612,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1613,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1614,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1615,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1616,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1617,1.0241227853059951e-07,0.0,0.0,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
1625,0.0,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
1626,0.0,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
1627,0.0,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
1628,6.55116260921724e-08,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
1629,1.4804096995898623e-07,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
1630,1.4804096995898623e-07,0.0,0.0,0.0,0.0,0.0,1.493321925798747e-07
