ngram,virus,virs,virs,vrs
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,6.356494850479066e-07,0.0,0.0,0.0
1527,6.356494850479066e-07,0.0,0.0,0.0
1528,6.356494850479066e-07,0.0,0.0,0.0
1529,6.356494850479066e-07,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,6.356494850479066e-07,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,6.820486565369979e-07,0.0,0.0,0.0
1559,6.820486565369979e-07,0.0,0.0,0.0
1560,6.820486565369979e-07,0.0,0.0,0.0
1561,6.820486565369979e-07,0.0,0.0,0.0
1562,6.820486565369979e-07,0.0,0.0,0.0
1563,6.820486565369979e-07,0.0,0.0,0.0
1564,6.820486565369979e-07,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,7.427053268267108e-07
1570,0.0,0.0,0.0,7.427053268267108e-07
1571,0.0,0.0,0.0,7.427053268267108e-07
1572,0.0,0.0,0.0,7.427053268267108e-07
1573,0.0,0.0,0.0,7.427053268267108e-07
1574,0.0,0.0,0.0,7.427053268267108e-07
1575,0.0,0.0,0.0,7.427053268267108e-07
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,8.84678326786213e-08,0.0,0.0,0.0
1599,8.84678326786213e-08,0.0,0.0,0.0
1600,8.84678326786213e-08,0.0,0.0,0.0
1601,8.84678326786213e-08,0.0,0.0,0.0
1602,8.84678326786213e-08,0.0,0.0,0.0
1603,8.84678326786213e-08,0.0,0.0,0.0
1604,8.84678326786213e-08,0.0,0.0,0.0
1605,0.0,0.0,0.0,0.0
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,3.809432525615973e-07,0.0,0.0,0.0
1616,3.809432525615973e-07,0.0,0.0,0.0
1617,3.809432525615973e-07,0.0,0.0,0.0
1618,3.809432525615973e-07,0.0,0.0,0.0
1619,3.809432525615973e-07,0.0,0.0,0.0
1620,3.809432525615973e-07,0.0,0.0,0.0
1621,5.593612481139385e-07,0.0,0.0,0.0
1622,1.7841799555234112e-07,0.0,0.0,0.0
1623,1.7841799555234112e-07,0.0,0.0,0.0
1624,9.250789746926915e-07,0.0,0.0,0.0
1625,9.250789746926915e-07,0.0,0.0,0.0
1626,9.250789746926915e-07,0.0,0.0,0.0
1627,9.250789746926915e-07,0.0,0.0,0.0
1628,7.466609791403503e-07,0.0,0.0,0.0
