ngram,classroom,clasroom,clasroom,classrom
1500,4.859176101490448e-07,0.0,0.0,0.0
1501,3.8873408811923584e-07,0.0,0.0,0.0
1502,3.239450734326965e-07,0.0,0.0,0.0
1503,2.7766720579945415e-07,0.0,0.0,0.0
1504,2.7766720579945415e-07,0.0,0.0,0.0
1505,2.525310784611585e-06,0.0,0.0,0.0
1506,2.525310784611585e-06,0.0,0.0,0.0
1507,2.525310784611585e-06,0.0,0.0,0.0
1508,2.525310784611585e-06,0.0,0.0,0.0
1509,2.525310784611585e-06,0.0,0.0,0.0
1510,2.525310784611585e-06,0.0,0.0,0.0
1511,2.525310784611585e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,6.160450019316548e-07,0.0,0.0,0.0
1524,6.160450019316548e-07,0.0,0.0,0.0
1525,6.160450019316548e-07,0.0,0.0,0.0
1526,6.160450019316548e-07,0.0,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
