ngram,chocolate,choclate,choclate,chooolate
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,8.937341980137197e-07,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,8.937341980137197e-07,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,8.937341980137197e-07,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,7.211109992307943e-07,0.0,0.0,0.0
1553,7.211109992307943e-07,0.0,0.0,0.0
1554,7.211109992307943e-07,0.0,0.0,0.0
1555,7.211109992307943e-07,0.0,0.0,0.0
1556,7.211109992307943e-07,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0
1558,7.211109992307943e-07,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,4.81826223871654e-07,0.0,0.0,0.0
1579,4.81826223871654e-07,0.0,0.0,0.0
1580,4.81826223871654e-07,0.0,0.0,0.0
1581,4.81826223871654e-07,0.0,0.0,0.0
1582,4.81826223871654e-07,0.0,0.0,0.0
1583,4.81826223871654e-07,0.0,0.0,0.0
1584,4.81826223871654e-07,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,1.2106209266806089e-07,0.0,0.0,0.0
1598,1.2106209266806089e-07,0.0,0.0,0.0
1599,1.2106209266806089e-07,0.0,0.0,0.0
1600,1.2106209266806089e-07,0.0,0.0,0.0
1601,1.2106209266806089e-07,0.0,0.0,0.0
1602,1.2106209266806089e-07,0.0,0.0,0.0
1603,1.2106209266806089e-07,0.0,0.0,0.0
1604,0.0,0.0,0.0,0.0
1605,0.0,0.0,0.0,0.0
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0
1625,0.0,0.0,0.0,0.0
1626,2.296218164182002e-07,0.0,0.0,0.0
1627,2.296218164182002e-07,0.0,0.0,0.0
1628,2.296218164182002e-07,0.0,0.0,0.0
1629,2.296218164182002e-07,0.0,0.0,0.0
1630,2.296218164182002e-07,0.0,0.0,0.0
1631,2.296218164182002e-07,0.0,0.0,0.0
