ngram,Cookie,Cokie,Cooke,Cooki
1500,0.0,0.0,1.0472455642229761e-05,0.0
1501,0.0,0.0,8.377964513783809e-06,0.0
1502,0.0,0.0,7.684480503182082e-06,0.0
1503,0.0,0.0,6.586697574156071e-06,0.0
1504,0.0,0.0,2.1758847391798293e-06,0.0
1505,0.0,0.0,6.024372071676356e-07,0.0
1506,0.0,0.0,8.204860802964373e-06,0.0
1507,0.0,0.0,8.204860802964373e-06,0.0
1508,0.0,0.0,8.204860802964373e-06,0.0
1509,0.0,0.0,7.602423595796738e-06,0.0
1510,0.0,0.0,7.602423595796738e-06,0.0
1511,0.0,0.0,7.602423595796738e-06,0.0
1512,0.0,0.0,7.602423595796738e-06,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,2.8566114451678004e-07,0.0
1515,0.0,0.0,2.8566114451678004e-07,0.0
1516,0.0,0.0,2.8566114451678004e-07,0.0
1517,0.0,0.0,2.8566114451678004e-07,0.0
1518,0.0,0.0,2.8566114451678004e-07,0.0
1519,0.0,0.0,2.8566114451678004e-07,0.0
1520,0.0,0.0,2.8566114451678004e-07,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,1.1295287549728528e-06,0.0
1536,0.0,0.0,1.1295287549728528e-06,0.0
1537,0.0,0.0,1.1295287549728528e-06,0.0
1538,0.0,0.0,1.1295287549728528e-06,0.0
1539,0.0,0.0,1.1295287549728528e-06,0.0
1540,0.0,0.0,1.1295287549728528e-06,0.0
1541,0.0,0.0,1.1295287549728528e-06,0.0
1542,0.0,0.0,6.018585346672418e-06,0.0
1543,0.0,0.0,6.018585346672418e-06,0.0
1544,0.0,0.0,1.2834726866068585e-05,0.0
1545,0.0,0.0,2.3819451078972114e-05,0.0
1546,0.0,0.0,3.3888874375926594e-05,0.0
1547,0.0,0.0,3.3888874375926594e-05,0.0
1548,0.0,0.0,3.3888874375926594e-05,0.0
1549,0.0,0.0,2.787028902925418e-05,0.0
1550,0.0,0.0,2.787028902925418e-05,0.0
1551,0.0,0.0,2.1054147509858012e-05,0.0
1552,0.0,0.0,1.0069423296954483e-05,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,7.211820047814399e-06,0.0
1556,0.0,0.0,7.211820047814399e-06,0.0
1557,0.0,0.0,7.211820047814399e-06,0.0
1558,0.0,0.0,7.211820047814399e-06,0.0
1559,0.0,0.0,7.211820047814399e-06,0.0
1560,0.0,0.0,7.211820047814399e-06,0.0
1561,0.0,0.0,7.211820047814399e-06,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,1.764648810162076e-05,0.0
1569,0.0,0.0,1.9874604082100893e-05,0.0
1570,0.0,0.0,1.9874604082100893e-05,0.0
1571,0.0,0.0,1.9874604082100893e-05,0.0
1572,0.0,0.0,3.4433506308622395e-05,0.0
1573,0.0,0.0,3.4433506308622395e-05,0.0
1574,0.0,0.0,3.4433506308622395e-05,0.0
1575,0.0,0.0,1.678701820700163e-05,0.0
1576,0.0,0.0,1.45589022265215e-05,0.0
1577,0.0,0.0,1.45589022265215e-05,0.0
1578,0.0,0.0,1.4799815338457328e-05,0.0
