ngram,Availability,Availablity,Availibility,Avaliability
1500,4.0493134179087065e-07,0.0,0.0,0.0
1501,3.239450734326965e-07,0.0,0.0,0.0
1502,2.6995422786058043e-07,0.0,0.0,0.0
1503,2.313893381662118e-07,0.0,0.0,0.0
1504,2.313893381662118e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,5.6442551015477094e-05,0.0,0.0,0.0
1529,5.6442551015477094e-05,0.0,0.0,0.0
1530,5.6442551015477094e-05,0.0,0.0,0.0
1531,5.6442551015477094e-05,0.0,0.0,0.0
1532,5.8246217382215294e-05,0.0,0.0,0.0
1533,5.8246217382215294e-05,0.0,0.0,0.0
1534,5.8246217382215294e-05,0.0,0.0,0.0
1535,1.8036663667382008e-06,0.0,0.0,0.0
1536,1.8036663667382008e-06,0.0,0.0,0.0
1537,1.8036663667382008e-06,0.0,0.0,0.0
1538,1.8036663667382008e-06,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,4.807880031876266e-06,0.0,0.0,0.0
1556,4.807880031876266e-06,0.0,0.0,0.0
1557,4.807880031876266e-06,0.0,0.0,0.0
1558,4.807880031876266e-06,0.0,0.0,0.0
1559,4.807880031876266e-06,0.0,0.0,0.0
1560,4.807880031876266e-06,0.0,0.0,0.0
1561,4.807880031876266e-06,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,1.3325693933958454e-05,0.0,0.0,0.0
1567,1.3325693933958454e-05,0.0,0.0,0.0
1568,1.3325693933958454e-05,0.0,0.0,0.0
1569,1.3325693933958454e-05,0.0,0.0,0.0
1570,1.3325693933958454e-05,0.0,0.0,0.0
1571,1.3325693933958454e-05,0.0,0.0,0.0
1572,1.3325693933958454e-05,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,5.767471260956622e-06,0.0,0.0,0.0
1584,5.767471260956622e-06,0.0,0.0,0.0
