ngram,Jumper,Jump
1500,0.0,0.0
1501,0.0,0.0
1502,0.0,0.0
1503,0.0,0.0
1504,0.0,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,0.0,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.0,8.301111457902672e-07
1540,0.0,8.301111457902672e-07
1541,0.0,8.301111457902672e-07
1542,0.0,8.301111457902672e-07
1543,0.0,8.301111457902672e-07
1544,0.0,8.301111457902672e-07
1545,0.0,8.301111457902672e-07
1546,0.0,0.0
1547,0.0,0.0
1548,0.0,0.0
1549,0.0,0.0
1550,0.0,0.0
1551,0.0,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,0.0,0.0
1582,0.0,0.0
1583,0.0,0.0
1584,0.0,0.0
1585,0.0,0.0
1586,0.0,0.0
1587,0.0,0.0
1588,0.0,0.0
1589,0.0,0.0
1590,0.0,0.0
1591,0.0,0.0
1592,0.0,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,0.0,0.0
1598,0.0,0.0
1599,0.0,0.0
1600,0.0,0.0
1601,0.0,0.0
1602,0.0,0.0
1603,0.0,0.0
1604,0.0,0.0
1605,2.2487378308661781e-07,1.011931999528315e-06
1606,2.2487378308661781e-07,1.011931999528315e-06
1607,2.2487378308661781e-07,1.011931999528315e-06
1608,2.2487378308661781e-07,1.011931999528315e-06
1609,2.2487378308661781e-07,1.011931999528315e-06
1610,2.2487378308661781e-07,1.011931999528315e-06
1611,2.2487378308661781e-07,1.011931999528315e-06
1612,0.0,0.0
1613,0.0,0.0
1614,0.0,0.0
1615,0.0,0.0
1616,0.0,0.0
1617,0.0,0.0
1618,0.0,0.0
1619,0.0,0.0
1620,0.0,0.0
1621,0.0,0.0
1622,0.0,0.0
1623,0.0,0.0
1624,0.0,0.0
1625,0.0,0.0
1626,0.0,0.0
1627,0.0,0.0
1628,0.0,0.0
1629,0.0,0.0
1630,0.0,1.7249799709264023e-07
1631,0.0,1.7249799709264023e-07
1632,0.0,1.7249799709264023e-07
1633,0.0,1.7249799709264023e-07
1634,0.0,1.7249799709264023e-07
1635,0.0,1.7249799709264023e-07
1636,0.0,1.7249799709264023e-07
1637,0.0,0.0
1638,0.0,0.0
1639,0.0,0.0
1640,0.0,0.0
1641,0.0,0.0
1642,0.0,0.0
1643,0.0,0.0
1644,0.0,0.0
1645,0.0,0.0
1646,0.0,0.0
1647,0.0,0.0
1648,0.0,4.584923577307823e-08
1649,0.0,4.584923577307823e-08
1650,0.0,8.976937238003302e-08
1651,0.0,8.976937238003302e-08
1652,0.0,1.4544076926930366e-07
1653,0.0,1.4544076926930366e-07
1654,0.0,1.4544076926930366e-07
1655,0.0,9.959153349622543e-08
1656,0.0,9.959153349622543e-08
1657,2.7804432534139778e-08,5.567139688927065e-08
1658,1.350357012240368e-07,5.567139688927065e-08
1659,1.350357012240368e-07,9.006811784014904e-07
1660,1.350357012240368e-07,1.0610307786659438e-06
1661,1.350357012240368e-07,1.0610307786659438e-06
