ngram,CSL,CS,CSL,CS
1500,0.0,1.965866522368742e-05,0.0,1.965866522368742e-05
1501,0.0,1.5726932178949938e-05,0.0,1.5726932178949938e-05
1502,0.0,1.3105776815791614e-05,0.0,1.3105776815791614e-05
1503,0.0,1.1233522984964242e-05,0.0,1.1233522984964242e-05
1504,0.0,3.7485073594975153e-06,0.0,3.7485073594975153e-06
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,2.064678093509948e-06,0.0,2.064678093509948e-06
1525,0.0,2.064678093509948e-06,0.0,2.064678093509948e-06
1526,0.0,2.7003275785578547e-06,0.0,2.7003275785578547e-06
1527,0.0,2.7003275785578547e-06,0.0,2.7003275785578547e-06
1528,0.0,2.7003275785578547e-06,0.0,2.7003275785578547e-06
1529,0.0,2.7003275785578547e-06,0.0,2.7003275785578547e-06
1530,0.0,2.7003275785578547e-06,0.0,2.7003275785578547e-06
1531,0.0,6.356494850479066e-07,0.0,6.356494850479066e-07
1532,0.0,6.356494850479066e-07,0.0,6.356494850479066e-07
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,3.1994131859391928e-06,0.0,3.1994131859391928e-06
1545,0.0,3.467333288296816e-06,0.0,3.467333288296816e-06
