ngram,Wiki,Wikid,Weiki
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,0.0,0.0,0.0
1521,0.0,0.0,0.0
1522,0.0,0.0,0.0
1523,0.0,0.0,0.0
1524,0.0,0.0,0.0
1525,0.0,0.0,0.0
1526,0.0,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,0.0,0.0,0.0
1533,0.0,0.0,0.0
1534,0.0,0.0,0.0
1535,0.0,0.0,0.0
1536,0.0,0.0,0.0
1537,0.0,0.0,0.0
1538,0.0,0.0,0.0
1539,0.0,0.0,0.0
1540,0.0,0.0,0.0
1541,0.0,0.0,0.0
1542,0.0,0.0,0.0
1543,0.0,0.0,0.0
1544,0.0,0.0,0.0
1545,0.0,0.0,0.0
1546,0.0,0.0,0.0
1547,0.0,0.0,0.0
1548,0.0,0.0,0.0
1549,0.0,0.0,0.0
1550,0.0,0.0,0.0
1551,0.0,0.0,0.0
1552,0.0,0.0,0.0
1553,0.0,0.0,0.0
1554,0.0,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,4.4869024610047094e-07,0.0,0.0
1561,4.4869024610047094e-07,0.0,0.0
1562,4.4869024610047094e-07,0.0,0.0
1563,4.4869024610047094e-07,0.0,0.0
1564,4.4869024610047094e-07,0.0,0.0
1565,4.4869024610047094e-07,0.0,0.0
1566,4.4869024610047094e-07,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,0.0,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,0.0,0.0,0.0
1576,0.0,0.0,0.0
1577,0.0,0.0,0.0
1578,0.0,0.0,0.0
1579,0.0,0.0,0.0
1580,0.0,0.0,0.0
1581,0.0,0.0,0.0
1582,0.0,0.0,0.0
1583,0.0,0.0,0.0
1584,0.0,0.0,0.0
1585,0.0,0.0,0.0
1586,0.0,0.0,0.0
1587,0.0,0.0,0.0
1588,0.0,0.0,0.0
1589,0.0,0.0,0.0
1590,0.0,0.0,0.0
1591,0.0,0.0,0.0
1592,0.0,0.0,0.0
1593,0.0,0.0,0.0
1594,0.0,0.0,0.0
1595,0.0,0.0,0.0
1596,0.0,0.0,0.0
1597,0.0,0.0,0.0
1598,4.423391633931065e-08,0.0,0.0
1599,4.423391633931065e-08,0.0,0.0
1600,4.423391633931065e-08,0.0,0.0
1601,4.423391633931065e-08,0.0,0.0
1602,4.423391633931065e-08,0.0,0.0
1603,4.423391633931065e-08,0.0,0.0
1604,4.423391633931065e-08,0.0,0.0
1605,0.0,0.0,0.0
1606,0.0,0.0,0.0
1607,0.0,0.0,0.0
1608,0.0,0.0,0.0
1609,0.0,0.0,0.0
1610,0.0,0.0,0.0
1611,0.0,0.0,0.0
1612,0.0,0.0,0.0
1613,0.0,0.0,0.0
1614,0.0,0.0,0.0
1615,0.0,0.0,0.0
1616,0.0,0.0,0.0
1617,0.0,0.0,0.0
1618,0.0,0.0,0.0
1619,0.0,0.0,0.0
1620,0.0,0.0,0.0
1621,0.0,0.0,0.0
1622,0.0,0.0,0.0
1623,0.0,0.0,0.0
1624,0.0,0.0,0.0
1625,0.0,0.0,0.0
1626,0.0,0.0,0.0
1627,0.0,0.0,0.0
1628,0.0,0.0,0.0
1629,0.0,0.0,0.0
1630,0.0,0.0,0.0
1631,0.0,0.0,0.0
1632,0.0,0.0,0.0
1633,0.0,0.0,0.0
1634,0.0,0.0,0.0
1635,0.0,0.0,0.0
1636,0.0,0.0,0.0
1637,0.0,0.0,0.0
1638,0.0,0.0,0.0
1639,0.0,0.0,0.0
1640,0.0,0.0,0.0
1641,0.0,0.0,0.0
1642,0.0,0.0,0.0
1643,0.0,0.0,0.0
1644,0.0,0.0,0.0
1645,0.0,0.0,0.0
1646,0.0,0.0,0.0
1647,0.0,0.0,0.0
1648,0.0,0.0,0.0
1649,0.0,0.0,0.0
1650,0.0,0.0,0.0
1651,0.0,0.0,0.0
1652,0.0,0.0,0.0
1653,0.0,0.0,0.0
1654,0.0,0.0,0.0
1655,0.0,0.0,0.0
1656,0.0,0.0,0.0
1657,0.0,0.0,0.0
1658,0.0,0.0,0.0
1659,0.0,0.0,0.0
1660,0.0,0.0,0.0
1661,0.0,0.0,0.0
1662,0.0,0.0,0.0
1663,0.0,0.0,0.0
1664,0.0,0.0,0.0
1665,0.0,0.0,0.0
1666,0.0,0.0,0.0
1667,6.490463176435566e-08,0.0,0.0
1668,6.490463176435566e-08,0.0,0.0
1669,9.485872405028723e-08,0.0,0.0
1670,9.485872405028723e-08,0.0,0.0
1671,9.485872405028723e-08,0.0,0.0
1672,9.485872405028723e-08,0.0,0.0
1673,9.485872405028723e-08,0.0,0.0
1674,2.995409228593157e-08,0.0,0.0
1675,2.995409228593157e-08,0.0,0.0
1676,0.0,0.0,0.0
1677,0.0,0.0,0.0
1678,0.0,0.0,0.0
1679,0.0,0.0,0.0
1680,0.0,0.0,0.0
1681,0.0,0.0,0.0
1682,0.0,0.0,0.0
1683,0.0,0.0,0.0
1684,0.0,0.0,0.0
1685,0.0,0.0,0.0
1686,0.0,0.0,0.0
1687,0.0,0.0,0.0
1688,0.0,0.0,0.0
1689,0.0,0.0,0.0
1690,0.0,0.0,0.0
1691,0.0,0.0,0.0
1692,0.0,0.0,0.0
1693,0.0,0.0,0.0
1694,0.0,0.0,0.0
1695,0.0,0.0,0.0
1696,0.0,0.0,0.0
1697,0.0,0.0,0.0
1698,0.0,0.0,0.0
1699,0.0,0.0,0.0
1700,0.0,0.0,0.0
1701,0.0,0.0,0.0
1702,0.0,0.0,0.0
1703,0.0,0.0,0.0
1704,0.0,0.0,0.0
1705,0.0,0.0,0.0
1706,0.0,0.0,0.0
1707,0.0,0.0,0.0
1708,0.0,0.0,0.0
1709,1.2025016157427411e-08,0.0,0.0
1710,1.2025016157427411e-08,0.0,0.0
1711,1.2025016157427411e-08,0.0,0.0
1712,1.2025016157427411e-08,0.0,0.0
1713,1.2025016157427411e-08,0.0,0.0
1714,1.2025016157427411e-08,0.0,0.0
1715,1.2025016157427411e-08,0.0,0.0
1716,0.0,0.0,0.0
1717,0.0,0.0,0.0
1718,0.0,0.0,0.0
1719,0.0,0.0,0.0
1720,0.0,0.0,0.0
1721,0.0,0.0,0.0
1722,0.0,0.0,0.0
1723,0.0,0.0,0.0
1724,0.0,0.0,0.0
1725,7.352953040091441e-09,0.0,0.0
1726,7.352953040091441e-09,0.0,0.0
1727,1.4195668894347234e-08,0.0,0.0
1728,1.4195668894347234e-08,0.0,0.0
1729,1.4195668894347234e-08,0.0,0.0
1730,1.4195668894347234e-08,0.0,0.0
1731,1.4195668894347234e-08,0.0,0.0
1732,6.842715854255792e-09,0.0,0.0
1733,6.842715854255792e-09,0.0,0.0
1734,0.0,0.0,0.0
1735,0.0,0.0,0.0
1736,0.0,0.0,0.0
1737,0.0,0.0,0.0
1738,0.0,0.0,0.0
1739,0.0,0.0,0.0
1740,0.0,0.0,0.0
1741,0.0,0.0,0.0
1742,0.0,0.0,0.0
1743,0.0,0.0,0.0
1744,0.0,0.0,0.0
1745,0.0,0.0,0.0
1746,0.0,0.0,0.0
1747,0.0,0.0,0.0
1748,3.639731817526938e-09,0.0,0.0
1749,3.639731817526938e-09,0.0,0.0
1750,3.639731817526938e-09,0.0,0.0
1751,3.639731817526938e-09,0.0,0.0
1752,3.639731817526938e-09,0.0,0.0
1753,8.669084244112518e-09,0.0,0.0
1754,8.669084244112518e-09,0.0,0.0
1755,5.029352426585579e-09,0.0,0.0
1756,5.029352426585579e-09,0.0,0.0
1757,5.029352426585579e-09,0.0,0.0
1758,5.029352426585579e-09,0.0,0.0
1759,5.029352426585579e-09,0.0,0.0
1760,0.0,0.0,0.0
1761,0.0,0.0,0.0
1762,0.0,0.0,0.0
1763,0.0,0.0,0.0
1764,2.810679688991513e-09,0.0,0.0
1765,2.810679688991513e-09,0.0,0.0
1766,2.810679688991513e-09,0.0,0.0
1767,2.810679688991513e-09,0.0,0.0
1768,2.810679688991513e-09,0.0,0.0
1769,8.90319893999601e-09,0.0,0.0
1770,8.90319893999601e-09,0.0,0.0
1771,6.092519251004498e-09,0.0,0.0
1772,6.092519251004498e-09,0.0,0.0
1773,6.092519251004498e-09,0.0,0.0
1774,6.092519251004498e-09,0.0,0.0
1775,6.092519251004498e-09,0.0,0.0
1776,0.0,0.0,0.0
1777,0.0,0.0,0.0
1778,0.0,0.0,0.0
1779,0.0,0.0,0.0
1780,0.0,0.0,0.0
1781,0.0,0.0,0.0
1782,0.0,0.0,0.0
1783,0.0,0.0,0.0
1784,0.0,0.0,0.0
1785,0.0,0.0,0.0
1786,0.0,0.0,0.0
1787,0.0,0.0,0.0
1788,0.0,0.0,0.0
1789,0.0,0.0,0.0
1790,0.0,0.0,0.0
1791,0.0,0.0,0.0
1792,1.0882620519022827e-09,0.0,0.0
1793,1.0882620519022827e-09,0.0,0.0
1794,1.0882620519022827e-09,0.0,0.0
1795,1.0882620519022827e-09,0.0,0.0
1796,1.0882620519022827e-09,0.0,0.0
1797,1.0882620519022827e-09,0.0,0.0
1798,1.0882620519022827e-09,0.0,0.0
1799,0.0,0.0,0.0
1800,4.116639093102289e-10,0.0,0.0
1801,4.116639093102289e-10,0.0,0.0
1802,1.2799175053146428e-09,0.0,0.0
1803,1.9819174238274886e-09,0.0,0.0
1804,2.897150075398258e-09,0.0,0.0
1805,4.195537631598459e-09,0.0,0.0
1806,4.712637835524447e-09,0.0,0.0
1807,5.137858836791663e-09,0.0,0.0
1808,5.608585215303005e-09,0.0,0.0
1809,5.283106079596272e-09,0.0,0.0
1810,5.2349191013791236e-09,0.0,0.0
1811,5.0228382722902356e-09,0.0,0.0
1812,3.7244507160900345e-09,0.0,0.0
1813,3.5953093201003738e-09,0.0,0.0
1814,3.3852988349078063e-09,0.0,0.0
1815,3.107713166171168e-09,0.0,0.0
1816,2.7551114247158027e-09,0.0,0.0
1817,3.3007314183462556e-09,0.0,0.0
1818,2.7766144621616765e-09,1.790348662973023e-10,0.0
