ngram,Merck,Merck,Merck,Merck
1500,2.3390674641632359e-07,2.3390674641632359e-07,2.3390674641632359e-07,2.3390674641632359e-07
1501,1.8712539713305886e-07,1.8712539713305886e-07,1.8712539713305886e-07,1.8712539713305886e-07
1502,1.5593783094421573e-07,1.5593783094421573e-07,1.5593783094421573e-07,1.5593783094421573e-07
1503,1.336609979521849e-07,1.336609979521849e-07,1.336609979521849e-07,1.336609979521849e-07
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1527,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1528,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1529,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1530,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1531,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1532,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06,3.178247425239533e-06
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1557,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1558,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1559,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1560,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1561,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1562,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06,1.0408762786287947e-06
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07
1599,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07
1600,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07
1601,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07
1602,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07
1603,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07,1.3270174901793196e-07
