ngram,Wipro,Wi,Wi,Wip
1500,0.0,4.76865551490846e-07,4.76865551490846e-07,0.0
1501,0.0,3.814924411926768e-07,3.814924411926768e-07,0.0
1502,0.0,3.1791036766056396e-07,3.1791036766056396e-07,0.0
1503,0.0,2.72494600851912e-07,2.72494600851912e-07,0.0
1504,0.0,1.3883360289972708e-07,1.3883360289972708e-07,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1531,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1532,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1533,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1534,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1535,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1536,0.0,1.4578970097188306e-06,1.4578970097188306e-06,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1545,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1546,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1547,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1548,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1549,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1550,0.0,4.1731475773433756e-07,4.1731475773433756e-07,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
