ngram,Nippon Telegraph
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,2.529684557066909e-10
1867,2.529684557066909e-10
1868,2.529684557066909e-10
1869,2.529684557066909e-10
1870,2.529684557066909e-10
1871,2.529684557066909e-10
1872,2.529684557066909e-10
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,6.907923439618863e-11
1879,6.907923439618863e-11
1880,6.907923439618863e-11
1881,6.907923439618863e-11
1882,6.907923439618863e-11
1883,6.907923439618863e-11
1884,6.907923439618863e-11
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,1.303194357982207e-11
1909,1.303194357982207e-11
1910,1.303194357982207e-11
1911,5.28375666632362e-11
1912,5.28375666632362e-11
1913,5.28375666632362e-11
1914,5.28375666632362e-11
1915,3.980562308341413e-11
1916,3.980562308341413e-11
1917,3.980562308341413e-11
1918,0.0
1919,2.6996795671989967e-11
1920,2.6996795671989967e-11
1921,8.036344407396407e-11
1922,8.036344407396407e-11
1923,1.5033201469386422e-10
1924,1.5033201469386422e-10
1925,1.721754247111359e-10
1926,1.4517862903914595e-10
1927,1.4517862903914595e-10
1928,1.5674810061039324e-10
1929,3.008345893824276e-10
1930,2.3086601876252744e-10
1931,2.807089461669727e-10
1932,3.9365642888279847e-10
1933,3.9365642888279847e-10
1934,4.363380093749417e-10
1935,3.714018894017203e-10
1936,6.848765007497601e-10
1937,6.848765007497601e-10
1938,9.862903430476626e-10
1939,8.51499450314565e-10
1940,8.51499450314565e-10
1941,8.350404772412239e-10
1942,1.0009235781475008e-09
1943,7.065807423283538e-10
1944,7.065807423283538e-10
1945,3.731659584512873e-10
1946,5.147715587128232e-10
1947,7.194212527293433e-10
1948,1.099502556461169e-09
1949,1.7905753586194046e-09
1950,3.92723268587731e-09
1951,6.366344963109378e-09
1952,8.823749651577982e-09
1953,1.2903245234190713e-08
1954,1.527973211449104e-08
1955,1.8443424565361966e-08
1956,2.1443751155711003e-08
1957,2.365348171297553e-08
1958,2.647920130779572e-08
1959,3.031304426518286e-08
1960,3.3414326543785526e-08
1961,3.68287216596335e-08
1962,3.90531622278851e-08
1963,4.1360180042764634e-08
1964,4.225274149608335e-08
1965,4.289343889597928e-08
1966,4.250271449076795e-08
1967,4.18977979929228e-08
1968,4.244513464511458e-08
1969,4.410314856175189e-08
1970,4.5800670684619556e-08
1971,4.863023862964967e-08
1972,5.1550028753613985e-08
1973,5.550059358126548e-08
1974,5.778547570603873e-08
1975,6.28940089849753e-08
1976,6.988906114153387e-08
1977,8.139234606931365e-08
1978,9.176556911175534e-08
1979,1.0542036627774515e-07
1980,1.211505369675641e-07
1981,1.4532970128909385e-07
1982,1.7095890569862604e-07
1983,1.8977355661523427e-07
1984,2.0059933092397841e-07
1985,2.1170621014984396e-07
1986,2.1793827085860228e-07
1987,2.1695505024256689e-07
1988,2.0562692424976247e-07
1989,1.895511851606508e-07
1990,1.7659373798194012e-07
1991,1.679651039207134e-07
1992,1.5954697728050503e-07
1993,1.505835172110892e-07
1994,1.4124970095151313e-07
1995,1.3213030618836846e-07
1996,1.2444250988405008e-07
1997,1.1664683289122227e-07
1998,1.0378102237902048e-07
1999,9.042233780779238e-08
2000,7.744792286855175e-08
2001,6.750818317056786e-08
2002,6.117786911983916e-08
2003,5.2526638784554184e-08
2004,4.390272120450131e-08
2005,3.8051046250383736e-08
2006,3.234577355166428e-08
2007,2.7497547857738676e-08
2008,2.3830710991847226e-08
2009,1.9641245201691097e-08
2010,1.6926813094033022e-08
2011,1.4258714970643333e-08
2012,1.2880646517641838e-08
2013,1.2091564828762915e-08
2014,1.1301551948252251e-08
2015,1.1356640326555732e-08
2016,1.0486938682520628e-08
2017,9.724785569413067e-09
2018,9.965923020160972e-09
2019,9.890689822711352e-09
